TYPOLOGIE ETABLISSEMENT,CLASSEMENT,NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,TELEPHONE,COURRIEL,SITE INTERNET,CAPACITE D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE D'UNITES D'HABITATION (villages de vacances),coordonnees,Nom du département,Nom de la région
VILLAGE DE VACANCES,3 étoiles,LE DOMAINE DE PELVEZY,Lieu-dit Côte de la Croix,24590,SAINT-GENIÈS,0477566609,contact.pelvezy@vacances-ulvf.com,http://www.vacances-ulvf.com/,350,,,,78,,,
VILLAGE DE VACANCES,3 étoiles,LE VILLAGE DE LA COMBE,Le pradal,24250,DOMME,0553297742,contact@villagedelacombe.com,www.sarlat-gites-dordogne.com,68,,,,12,"44.798923,1.22147",DORDOGNE,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,2 étoiles,LE CARREFOUR DES LANDES,38 rue de bel air,40200,MIMIZAN,0558090536,carrefourdeslandes@wanadoo.fr,www.lecarrefourdeslandes.com,95,,,,30,"44.20712,-1.288461",LANDES,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES ARTES TOURISME LA BÉRANGERE,733 ROUTE DE LA CROISETTE,38410,CHAMROUSSE,0476899111,accueilchamrousse@artestourisme.fr,http://residencelaberangere.com/esprit-artes.html,378,,,,91,"45.11349,5.878594",ISERE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,LE HAMEAU DES GENÊTS,route de Briols,12400,MONTLAUR,0565998606,contact@hameaudesgenets.com,http://www.hameaudesgenets.com,144,,,,32,"43.858956,2.846678",AVEYRON,OCCITANIE
VILLAGE DE VACANCES,4 étoiles,VILLAGE DE VACANCES LES DEUX ÉTANGS,1379 route de l'étang blanc,40510,SEIGNOSSE,05 58 41 66 99,info@les2etangs.com,http://www.les2etangs.com/,172,,,,42,"43.700441,-1.373333",LANDES,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,2 étoiles,VILLAGE CLUB VACANCIEL DE CARRY-LE-ROUET,Chemin des eaux salées,13620,CARRY-LE-ROUET,0805124545,reservation@vacanciel.com,http://www.vacanciel.com/club-carry-le-rouet-302.html,498,,,,136,"43.333693,5.179548",BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,3 étoiles,PERLA DI MARE,Route de la Mer,20240,GHISONACCIA,0495565310,perla.di.mare@wanadoo.fr,www.perla.di.mare.fr,985,,,,182,"42.012359,9.409336",HAUTE-CORSE,CORSE
VILLAGE DE VACANCES,1 étoile,CENTRE D'ACCUEIL LA PLINGUETIÈRE,51 route du champ de Foire,44860,SAINT-AIGNAN-GRANDLIEU,0240021642,contact@plinguetiere.fr,www.plinguetiere.fr,200,,,,48,"47.131548,-1.614244",LOIRE-ATLANTIQUE,PAYS DE LA LOIRE
VILLAGE DE VACANCES,4 étoiles,VILLAGE VACANCES LE CÉZALLIER,2 avenue Maréchal Leclerc,63420,ARDES,04.73.55.33.48,groupesfrance@laligue.org,http://www.vacances-pour-tous.org,270,,,,81,"45.401912,3.12774",PUY-DE-DOME,AUVERGNE-RHONE-ALPES
